nohup: ignoring input
2026-09-17 11:45:38,364 | INFO    | ingestion.chirps | Processed 2021-08
2026-09-17 11:45:38,364 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.09.tif.gz (attempt 1/4)
2026-09-17 11:45:44,880 | INFO    | ingestion.chirps | Processed 2021-09
2026-09-17 11:45:44,881 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.10.tif.gz (attempt 1/4)
2026-09-17 11:45:51,524 | INFO    | ingestion.chirps | Processed 2021-10
2026-09-17 11:45:51,524 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.11.tif.gz (attempt 1/4)
2026-09-17 11:45:58,103 | INFO    | ingestion.chirps | Processed 2021-11
2026-09-17 11:45:58,114 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.12.tif.gz (attempt 1/4)
2026-09-17 11:46:03,865 | INFO    | ingestion.chirps | Processed 2021-12
2026-09-17 11:46:03,866 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.01.tif.gz (attempt 1/4)
2026-09-17 11:46:10,999 | INFO    | ingestion.chirps | Processed 2022-01
2026-09-17 11:46:10,999 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.02.tif.gz (attempt 1/4)
2026-09-17 11:46:16,881 | INFO    | ingestion.chirps | Processed 2022-02
2026-09-17 11:46:16,882 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.03.tif.gz (attempt 1/4)
2026-09-17 11:46:22,075 | INFO    | ingestion.chirps | Processed 2022-03
2026-09-17 11:46:22,076 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.04.tif.gz (attempt 1/4)
2026-09-17 11:46:27,625 | INFO    | ingestion.chirps | Processed 2022-04
2026-09-17 11:46:27,626 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.05.tif.gz (attempt 1/4)
2026-09-17 11:46:34,063 | INFO    | ingestion.chirps | Processed 2022-05
2026-09-17 11:46:34,063 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.06.tif.gz (attempt 1/4)
2026-09-17 11:46:40,024 | INFO    | ingestion.chirps | Processed 2022-06
2026-09-17 11:46:40,025 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.07.tif.gz (attempt 1/4)
2026-09-17 11:46:45,424 | INFO    | ingestion.chirps | Processed 2022-07
2026-09-17 11:46:45,425 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.08.tif.gz (attempt 1/4)
2026-09-17 11:46:50,942 | INFO    | ingestion.chirps | Processed 2022-08
2026-09-17 11:46:50,943 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.09.tif.gz (attempt 1/4)
2026-09-17 11:46:55,891 | INFO    | ingestion.chirps | Processed 2022-09
2026-09-17 11:46:55,891 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.10.tif.gz (attempt 1/4)
2026-09-17 11:47:01,030 | INFO    | ingestion.chirps | Processed 2022-10
2026-09-17 11:47:01,030 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.11.tif.gz (attempt 1/4)
2026-09-17 11:47:06,826 | INFO    | ingestion.chirps | Processed 2022-11
2026-09-17 11:47:06,827 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2022.12.tif.gz (attempt 1/4)
2026-09-17 11:47:32,781 | INFO    | ingestion.chirps | Processed 2022-12
2026-09-17 11:47:32,781 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2023.01.tif.gz (attempt 1/4)
2026-09-17 11:47:38,925 | INFO    | ingestion.chirps | Processed 2023-01
2026-09-17 11:47:38,926 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2023.02.tif.gz (attempt 1/4)
2026-09-17 11:47:45,330 | INFO    | ingestion.chirps | Processed 2023-02
2026-09-17 11:47:45,330 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2023.03.tif.gz (attempt 1/4)
